date,title,geo_lat,geo_lon,connecting_railway,operator,railway,station_code
2019-04-25 16:00:00+09:00,富士見台,35.7359,139.63,0,Seibu,Seibu.Ikebukuro,SI08
2019-04-25 16:00:00+09:00,飯能,35.85102,139.31904,0,Seibu,Seibu.Ikebukuro,SI26
2019-04-25 16:00:00+09:00,ひばりヶ丘,35.75157,139.54552,0,Seibu,Seibu.Ikebukuro,SI13
2019-04-25 16:00:00+09:00,東吾野,35.89199,139.26068,0,Seibu,Seibu.Ikebukuro,SI30
2019-04-25 16:00:00+09:00,東飯能,35.85262,139.32593,1,Seibu,Seibu.Ikebukuro,SI27
2019-04-25 16:00:00+09:00,東久留米,35.76031,139.53393,0,Seibu,Seibu.Ikebukuro,SI14
2019-04-25 16:00:00+09:00,東長崎,35.73021,139.68301,0,Seibu,Seibu.Ikebukuro,SI03
2019-04-25 16:00:00+09:00,保谷,35.74832,139.56754,0,Seibu,Seibu.Ikebukuro,SI12
2019-04-25 16:00:00+09:00,池袋,35.72888,139.71171,1,Seibu,Seibu.Ikebukuro,SI01
2019-07-16 14:00:00+09:00,三軒茶屋,35.644147,139.669257,1,Tokyu,Tokyu.Setagaya,SG1
2019-04-25 16:00:00+09:00,稲荷山公園,35.84514,139.3984,0,Seibu,Seibu.Ikebukuro,SI22
2019-04-25 16:00:00+09:00,入間市,35.84196,139.38953,0,Seibu,Seibu.Ikebukuro,SI23
2019-04-25 16:00:00+09:00,清瀬,35.77212,139.5199,0,Seibu,Seibu.Ikebukuro,SI15
2019-04-25 16:00:00+09:00,高麗,35.88166,139.30441,0,Seibu,Seibu.Ikebukuro,SI28
2019-04-25 16:00:00+09:00,小手指,35.80055,139.43801,0,Seibu,Seibu.Ikebukuro,SI19
2019-04-25 16:00:00+09:00,元加治,35.84052,139.34575,0,Seibu,Seibu.Ikebukuro,SI25
2019-04-25 16:00:00+09:00,武蔵藤沢,35.8212,139.41258,0,Seibu,Seibu.Ikebukuro,SI21
2019-04-25 16:00:00+09:00,武蔵横手,35.88536,139.28076,0,Seibu,Seibu.Ikebukuro,SI29
2019-04-25 16:00:00+09:00,中村橋,35.7368,139.63777,0,Seibu,Seibu.Ikebukuro,SI07
2019-04-25 16:00:00+09:00,練馬高野台,35.7408,139.61666,0,Seibu,Seibu.Ikebukuro,SI09
2019-04-25 16:00:00+09:00,練馬,35.73783,139.65356,1,Seibu,Seibu.Ikebukuro,SI06
2019-04-25 16:00:00+09:00,西所沢,35.78925,139.456,1,Seibu,Seibu.Ikebukuro,SI18
2019-04-25 16:00:00+09:00,大泉学園,35.74952,139.58655,0,Seibu,Seibu.Ikebukuro,SI11
2019-05-27 16:00:00+09:00,相模湖,35.61712,139.18848,0,JR-East,JR-East.Chuo,
2019-04-25 16:00:00+09:00,桜台,35.73875,139.66241,0,Seibu,Seibu.Ikebukuro,SI05
